"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 21:18:20 GMT 2024","Wed Oct 16 21:18:21 GMT 2024","495","firefox","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Oct 16 21:18:07 GMT 2024","Wed Oct 16 21:18:08 GMT 2024","278","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Wed Oct 16 21:18:35 GMT 2024","Wed Oct 16 21:18:35 GMT 2024","355","webkit","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Wed Oct 16 21:18:24 GMT 2024","Wed Oct 16 21:18:25 GMT 2024","544","firefox","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Wed Oct 16 21:18:43 GMT 2024","Wed Oct 16 21:18:44 GMT 2024","574","webkit","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Wed Oct 16 21:18:18 GMT 2024","Wed Oct 16 21:18:19 GMT 2024","594","firefox","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Oct 16 21:18:45 GMT 2024","Wed Oct 16 21:18:45 GMT 2024","560","webkit","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Wed Oct 16 21:18:23 GMT 2024","Wed Oct 16 21:18:24 GMT 2024","547","firefox","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Oct 16 21:18:11 GMT 2024","Wed Oct 16 21:18:11 GMT 2024","280","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Wed Oct 16 21:18:38 GMT 2024","Wed Oct 16 21:18:38 GMT 2024","550","webkit","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Wed Oct 16 21:18:30 GMT 2024","Wed Oct 16 21:18:34 GMT 2024","3254","webkit","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Wed Oct 16 21:18:46 GMT 2024","Wed Oct 16 21:18:47 GMT 2024","577","webkit","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Wed Oct 16 21:18:43 GMT 2024","Wed Oct 16 21:18:43 GMT 2024","486","webkit","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Wed Oct 16 21:18:19 GMT 2024","Wed Oct 16 21:18:20 GMT 2024","492","firefox","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Wed Oct 16 21:18:12 GMT 2024","Wed Oct 16 21:18:12 GMT 2024","324","chromium","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Wed Oct 16 21:18:36 GMT 2024","Wed Oct 16 21:18:37 GMT 2024","573","webkit","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Wed Oct 16 21:18:24 GMT 2024","Wed Oct 16 21:18:24 GMT 2024","480","firefox","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Wed Oct 16 21:18:18 GMT 2024","Wed Oct 16 21:18:18 GMT 2024","503","firefox","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Wed Oct 16 21:18:47 GMT 2024","Wed Oct 16 21:18:48 GMT 2024","548","webkit","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Wed Oct 16 21:18:11 GMT 2024","Wed Oct 16 21:18:12 GMT 2024","276","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Wed Oct 16 21:18:08 GMT 2024","Wed Oct 16 21:18:09 GMT 2024","373","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Oct 16 21:18:13 GMT 2024","Wed Oct 16 21:18:14 GMT 2024","313","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Wed Oct 16 21:18:22 GMT 2024","Wed Oct 16 21:18:22 GMT 2024","505","firefox","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Wed Oct 16 21:18:44 GMT 2024","Wed Oct 16 21:18:44 GMT 2024","509","webkit","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Wed Oct 16 21:18:17 GMT 2024","Wed Oct 16 21:18:18 GMT 2024","433","firefox","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Wed Oct 16 21:18:05 GMT 2024","Wed Oct 16 21:18:06 GMT 2024","966","chromium","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Wed Oct 16 21:18:41 GMT 2024","Wed Oct 16 21:18:42 GMT 2024","584","webkit","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Wed Oct 16 21:18:35 GMT 2024","Wed Oct 16 21:18:36 GMT 2024","463","webkit","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Wed Oct 16 21:18:20 GMT 2024","Wed Oct 16 21:18:20 GMT 2024","528","firefox","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Oct 16 21:18:10 GMT 2024","Wed Oct 16 21:18:11 GMT 2024","298","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Wed Oct 16 21:18:10 GMT 2024","Wed Oct 16 21:18:10 GMT 2024","298","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Wed Oct 16 21:18:28 GMT 2024","Wed Oct 16 21:18:29 GMT 2024","678","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Wed Oct 16 21:18:17 GMT 2024","Wed Oct 16 21:18:17 GMT 2024","400","firefox","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Wed Oct 16 21:18:18 GMT 2024","Wed Oct 16 21:18:18 GMT 2024","454","firefox","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Wed Oct 16 21:18:09 GMT 2024","Wed Oct 16 21:18:09 GMT 2024","328","chromium","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Oct 16 21:18:39 GMT 2024","Wed Oct 16 21:18:40 GMT 2024","569","webkit","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Wed Oct 16 21:18:39 GMT 2024","Wed Oct 16 21:18:39 GMT 2024","571","webkit","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Oct 16 21:18:47 GMT 2024","Wed Oct 16 21:18:47 GMT 2024","679","webkit","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Wed Oct 16 21:18:42 GMT 2024","Wed Oct 16 21:18:43 GMT 2024","423","webkit","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Oct 16 21:18:26 GMT 2024","Wed Oct 16 21:18:26 GMT 2024","758","firefox","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Wed Oct 16 21:18:37 GMT 2024","Wed Oct 16 21:18:38 GMT 2024","814","webkit","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Oct 16 21:18:46 GMT 2024","Wed Oct 16 21:18:46 GMT 2024","647","webkit","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Wed Oct 16 21:18:21 GMT 2024","Wed Oct 16 21:18:21 GMT 2024","463","firefox","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Wed Oct 16 21:18:11 GMT 2024","Wed Oct 16 21:18:11 GMT 2024","229","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Oct 16 21:18:13 GMT 2024","Wed Oct 16 21:18:13 GMT 2024","319","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Wed Oct 16 21:18:12 GMT 2024","Wed Oct 16 21:18:12 GMT 2024","324","chromium","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Wed Oct 16 21:18:27 GMT 2024","Wed Oct 16 21:18:28 GMT 2024","706","firefox","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Wed Oct 16 21:18:09 GMT 2024","Wed Oct 16 21:18:09 GMT 2024","295","chromium","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Wed Oct 16 21:18:14 GMT 2024","Wed Oct 16 21:18:14 GMT 2024","294","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Wed Oct 16 21:18:28 GMT 2024","Wed Oct 16 21:18:28 GMT 2024","541","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Wed Oct 16 21:18:21 GMT 2024","Wed Oct 16 21:18:22 GMT 2024","476","firefox","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Wed Oct 16 21:18:10 GMT 2024","Wed Oct 16 21:18:10 GMT 2024","308","chromium","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Wed Oct 16 21:18:12 GMT 2024","Wed Oct 16 21:18:13 GMT 2024","339","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Wed Oct 16 21:18:23 GMT 2024","Wed Oct 16 21:18:23 GMT 2024","525","firefox","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Wed Oct 16 21:18:07 GMT 2024","Wed Oct 16 21:18:07 GMT 2024","214","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Wed Oct 16 21:18:10 GMT 2024","Wed Oct 16 21:18:10 GMT 2024","282","chromium","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Wed Oct 16 21:18:25 GMT 2024","Wed Oct 16 21:18:26 GMT 2024","823","firefox","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Wed Oct 16 21:18:40 GMT 2024","Wed Oct 16 21:18:41 GMT 2024","690","webkit","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Wed Oct 16 21:18:15 GMT 2024","Wed Oct 16 21:18:16 GMT 2024","1161","firefox","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Wed Oct 16 21:18:26 GMT 2024","Wed Oct 16 21:18:27 GMT 2024","555","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Wed Oct 16 21:18:09 GMT 2024","Wed Oct 16 21:18:10 GMT 2024","296","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Oct 16 21:18:08 GMT 2024","Wed Oct 16 21:18:08 GMT 2024","639","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
